,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,exceeded,product
1,28.57,64.29,14.29,3.57,0,2243,2267.85,96.43,0,Banana Chips Sweetened (Whole)
2,17.86,60.71,17.86,17.86,0.635,1941,2032.23,96.43,0,Peanuts
3,57.14,17.86,3.57,17.86,1.22428,2540,2835.7,92.86,0,Organic Salted Nut Mix
7,18.75,57.81,15.62,14.06,0.1397,1833,1953.04,90.62,0,Organic Muesli
12,36.67,36.67,3.33,16.67,1.60782,2230,2336.91,90.01,0,Zen Party Mix
15,18.18,60,21.82,14.55,0.02286,1824,1976.37,92.73,0,Cinnamon Nut Granola
16,60.71,17.86,3.57,14.29,0.01016,2632,2914.24,92.86,0,Organic Hazelnuts
19,5.95,66.67,2.38,16.67,0.0254,1096,1648.83,89.29,0,Organic Oat Groats
20,17.5,42.5,32.5,7.5,0.28448,1464,1532.5,67.5,0,Energy Power Mix
21,33.33,46.67,30,13.33,0.46482,2092,2319.87,93.33,0,Antioxidant Mix - Berries & Chocolate
22,10.91,69.09,27.27,10.91,0.02286,1674,1785.49,90.91,0,Organic Quinoa Coconut Granola With Mango
23,50,23.33,6.67,6.67,1.27,2372,2460,80,0,Fire Roasted Hatch Green Chile Almonds
24,20,60,33.33,8.89,0.19812,1954,1951.13,88.89,0,Peanut Butter Power Chews
26,22.22,57.41,5.56,12.96,0.28194,1548,2062.87,92.59,0,Organic Unswt Berry Coconut Granola
27,46.67,30,6.67,16.67,1.016,2372,2613.52,93.34,0,Roasted Salted Black Pepper Cashews
28,43.33,30,6.67,16.67,1.35382,2372,2483.26,90,0,Thai Curry Roasted Cashews
29,46.67,23.33,3.33,20,2.032,2230,2556.74,90,0,Wasabi Tamari Almonds
31,6.67,64.44,11.11,13.33,0.01016,1490,1582.22,84.44,0,Organic Red Quinoa
32,35,52.5,37.5,5,0.127,2092,2342.5,92.5,0,Dark Chocolate Coconut Chews
34,21.57,58.82,3.92,11.76,0.27432,1887,2041.09,92.15,0,"Organic Unsweetened Granola, Cinnamon Almond"
35,9.09,70.91,29.09,10.91,0.04572,1674,1745.45,90.91,0,Organic Blueberry Almond Granola
38,65,24,7,6,0.09398,2761,3045,95,0,Organic Coconut Chips
42,17.86,64.29,21.43,10.71,0.04572,1941,1971.54,92.86,0,Aunt Ginger's Snappy Granola
43,35,50,37.5,7.5,1.651,2197,2342.5,92.5,0,Dark Chocolate Sea Salt & Turbinado Almonds
52,5.32,53.19,8.51,17.02,0.05334,1335,1401.05,75.53,0,Organic Garbanzo Beans
57,1.11,68.89,8.89,28.89,0.05588,1582,1705.55,98.89,0,Organic Yellow Split Peas
61,25.45,58.18,9.09,10.91,0.254,2054,2167.08,94.54,0,Coconut Almond Granola
62,18.18,63.64,10.91,10.91,0.254,1904,1976.37,92.73,0,Super Nutty Granola
63,14.55,67.27,12.73,10.91,0.254,1904,1896.51,92.73,0,Maple Almond Granola
64,4.55,70.91,23.64,10.91,0.18542,1523,1568.39,86.37,0,35% Fruit And Fiber Muesli
67,9.23,60,1.54,13.85,1.13284,1611,1615.42,83.08,0,Tricolor Tortellini
72,1.72,60.34,5.17,13.79,2.75844,1297,1327.29,75.85,0,10-Grain Pancake Mix
79,10.91,74.55,25.45,9.09,0.254,1824,1847.37,94.55,0,Granola Cranberry And Acai
82,42.86,25,14.29,25,0.54356,2389,2521.54,92.86,0,"Peanuts, Mixed Nuts"
87,50,17.86,3.57,28.57,1.13284,2389,2739.31,96.43,0,"Foods, Spanish Peanuts"
88,46.43,28.57,3.57,21.43,1.08966,2389,2660.77,96.43,0,"Foods, Honey Roasted Nut Mix"
89,57.14,21.43,3.57,21.43,1.08966,2766,2957.08,100,0,Roasted Salted Sunflower Seeds
90,57.14,21.43,3.57,17.86,0.58928,2540,2896.39,96.43,0,"Foods, Deluxe Nut Mix"
91,28,60,32,12,0.2032,2176,2316,100,0,"Foods, Honey Roast Nuts & Fruit Mix"
94,26.67,46.67,33.33,13.33,0.127,1812,2060.13,86.67,0,Organic Trail Mix
97,46.67,13.33,3.33,30,0.04318,2510,2556.74,90,0,Organic Raw Pumpkin Seeds
104,1.92,51.92,5.77,25,2.29616,1289,1382.52,78.84,0,Curry Lentil Soup Mix
105,1.43,57.14,8.57,22.86,1.81356,1314,1415.77,81.43,0,Split Pea Soup Mix
106,6.67,56.67,26.67,10,0.71882,1255,1393.52,73.34,0,Whole Wheat 'N Honey Fig Bars
107,26.67,53.33,36.67,10,0.21082,1954,2116.74,90,0,Chocolate Nut Crunch
109,27.5,60,57.5,7.5,0.09652,2197,2220,95,0,Milk Chocolate Peanut Butter Malt Balls
110,41.18,17.65,2.94,26.47,0.97028,2092,2356.06,85.3,0,Organic Tamari Pumpkin Seed
111,20,72.5,47.5,5,1.143,2092,2097.5,97.5,0,Yogurt Pretzels
120,16.36,60,16.36,12.73,0.02286,1749,1874.45,89.09,0,Swiss-Style Muesli
144,2.22,71.11,2.22,15.56,0.02794,1674,1559.97,88.89,0,Organic Harvest Pilaf
148,0,83.33,66.67,0,0,1255,1416.61,83.33,0,Cranberries
149,0,62.5,52.5,2.5,0,1046,1105,65,0,Turkish Apricots
150,28.57,64.29,14.29,3.57,0,2243,2267.85,96.43,0,Banana Chips Sweetened
151,14.55,60,21.82,9.09,0.1143,1674,1741.98,83.64,0,Granola Honey Almonds
152,2.5,87.5,65,2.5,1.9685,1569,1627.5,92.5,0,Chili Mango
